DATETIME,X,Y,Z
115711322,0.82,0.07,9.54
115711324,0.64,0.13,9.79
115711324,0.46,-0.03,9.90
115711326,0.55,-0.06,9.42
115711326,0.83,0.19,9.55
115711328,0.74,0.15,9.88
115711329,0.46,0.01,9.62
115711331,0.75,0.08,9.89
115711331,0.78,0.08,9.80
115711333,0.65,0.08,9.43
115711333,0.59,0.13,9.72
115711335,0.55,0.01,9.95
115711335,0.68,0.04,9.58
115711337,0.84,0.14,9.68
115711338,0.67,0.12,9.96
115711339,0.39,-0.06,9.66
115711340,0.56,0.03,9.42
115711342,0.87,0.11,9.79
115711342,0.53,0.06,9.47
115711344,0.50,0.07,9.75
115711344,0.64,-0.02,9.88
115711346,0.75,0.03,9.46
115711346,0.74,0.16,9.62
115711348,0.56,0.01,9.96
115711348,0.51,-0.08,9.64
115711350,0.76,0.04,9.52
115711350,0.87,0.11,9.85
115711352,0.58,0.03,9.68
115711352,0.44,-0.00,9.33
115711354,0.81,0.00,9.78
115711355,0.73,0.03,9.51
115711357,0.63,0.14,9.71
115711357,0.47,0.02,9.95
115711359,0.57,-0.10,9.57
115711359,0.86,0.08,9.54
115711360,0.79,0.16,9.95
115711361,0.50,-0.01,9.80
115711363,0.42,0.00,9.57
115711363,0.73,0.10,9.74
115711366,0.79,0.06,9.88
115711366,0.51,0.05,9.66
115711368,0.60,0.02,9.86
115711368,0.64,0.04,9.59
115711370,0.80,0.19,9.43
115711370,0.71,0.21,9.92
115711372,0.43,-0.01,9.81
115711372,0.59,0.05,9.39
115711374,0.94,0.17,9.83
115711374,0.81,0.13,9.96
115711376,0.50,-0.01,9.58
115711376,0.48,0.03,9.70
115711379,0.67,0.04,9.89
115711379,0.70,0.19,9.54
115711381,0.57,0.12,9.97
115711381,0.48,-0.03,9.80
115711383,0.74,0.04,9.46
115711383,0.87,0.21,9.86
115711385,0.65,0.08,9.98
115711385,0.40,-0.07,9.52
115711387,0.58,0.04,9.56
115711387,0.78,0.10,9.93
115711389,0.74,0.07,9.67
115711390,0.61,0.12,9.50
115711391,0.59,0.02,9.80
115711392,0.84,0.11,9.46
115711394,0.81,0.13,9.79
115711394,0.54,-0.03,9.87
115711395,0.45,-0.11,9.48
115711395,0.72,0.08,9.68
115711397,0.90,0.13,9.93
115711399,0.63,-0.02,9.64
115711399,0.52,0.02,9.55
115711401,0.59,0.06,9.87
115711402,0.71,-0.02,9.79
115711404,0.62,0.20,9.84
115711404,0.44,0.03,9.97
115711406,0.53,-0.06,9.50
115711406,0.84,0.11,9.62
115711408,0.75,0.13,9.86
115711408,0.50,0.04,9.54
115711410,0.44,0.04,9.52
115711410,0.68,0.09,9.96
115711412,0.77,0.08,9.81
