DATETIME,X,Y,Z
154958784, -0.35,0.00,10.05
154958784, -0.12,0.10,10.12
154958786, 0.21,0.05,10.29
154958788, 0.18,-0.69,10.28
154958793, -0.17,-0.57,10.09
154958795, -0.44,-0.40,9.96
154958795, -0.40,-0.15,9.96
154958797, 0.04,0.07,10.07
154958801, 0.31,-0.11,10.38
154958803, 0.40,-0.38,10.51
154958805, 0.38,-0.60,10.37
154958809, 0.09,-0.72,10.21
154958809, -0.23,-0.58,10.02
154958811, -0.14,0.03,10.09
154958815, 0.22,0.06,10.20
154958817, 0.46,-0.20,10.33
154958820, 0.46,-0.42,10.39
154958820, -0.03,-0.64,10.17
154958824, -0.24,-0.48,10.01
154958826, -0.37,-0.32,9.90
154958828, -0.28,-0.04,10.01
154958830, -0.05,0.03,10.14
154958834, 0.45,-0.55,10.39
154958834, 0.21,-0.71,10.29
154958836, -0.11,-0.62,10.11
154958840, -0.40,-0.11,9.82
154958843, -0.23,0.07,9.98
154958845, 0.04,0.09,10.22
154958845, 0.34,-0.06,10.43
154958849, 0.46,-0.37,10.47
154958851, 0.42,-0.57,10.41
154958853, -0.18,-0.57,9.97
154958857, -0.33,-0.05,9.86
154958857, -0.13,0.04,10.13
154958859, 0.22,0.02,10.35
154958861, 0.47,-0.48,10.31
154958865, 0.28,-0.66,10.25
154958867, 0.02,-0.66,10.12
154958871, -0.25,-0.49,10.01
154958871, -0.47,-0.17,9.92
154958873, -0.04,0.02,10.12
154958875, 0.24,0.01,10.36
154958879, 0.47,-0.55,10.43
154958881, 0.21,-0.68,10.31
154958881, -0.42,-0.44,9.89
154958883, -0.43,-0.09,9.94
154958887, -0.20,0.07,10.03
154958889, 0.10,0.01,10.17
154958891, 0.39,-0.15,10.39
154958891, 0.34,-0.55,10.34
154958896, 0.02,-0.69,10.18
154958898, -0.42,-0.28,9.88
154958900, -0.31,-0.01,9.97
154958904, 0.23,0.02,10.22
154958904, 0.42,-0.28,10.39
154958906, 0.46,-0.52,10.47
154958908, 0.29,-0.68,10.34
154958912, -0.03,-0.67,10.14
154958914, -0.38,-0.20,9.96
154958914, -0.26,0.05,9.98
154958918, -0.06,0.06,10.17
154958920, 0.48,-0.39,10.46
154958922, 0.10,-0.70,10.25
154958926, -0.21,-0.62,10.05
154958928, -0.39,-0.41,9.89
154958928, -0.36,-0.10,9.93
154958930, -0.19,0.06,10.05
154958934, 0.41,-0.13,10.40
154958936, 0.51,-0.41,10.47
154958938, 0.40,-0.61,10.44
154958940, -0.31,-0.49,10.02
154958943, -0.45,-0.24,9.82
154958945, -0.10,0.04,10.14
154958947, 0.21,0.02,10.27
154958949, 0.41,-0.25,10.48
154958954, 0.45,-0.49,10.47
154958955, 0.23,-0.64,10.25
154958956, -0.33,-0.47,10.04
154958958, -0.40,-0.22,9.90
154958962, -0.30,0.01,9.96
154958964, 0.35,-0.08,10.36
154958964, 0.43,-0.59,10.40
154958968, 0.13,-0.73,10.30
154958970, -0.14,-0.56,10.13
154958972, -0.38,-0.34,9.94
154958976, -0.37,-0.07,9.98
154958976, 0.14,0.08,10.24
154958978, 0.37,-0.14,10.37
154958980, 0.47,-0.43,10.47
154958985, 0.36,-0.67,10.38
154958987, -0.46,-0.22,9.86
154958989, -0.35,-0.03,9.91
154958991, -0.08,0.03,10.14
154958993, 0.23,-0.00,10.40
154958996, 0.45,-0.24,10.41
154958998, 0.22,-0.66,10.39
154959001, -0.05,-0.59,10.17
154959002, -0.29,-0.40,9.96
154959004, -0.40,-0.17,9.98
154959007, 0.37,-0.11,10.39
154959009, 0.50,-0.40,10.48
154959012, 0.39,-0.58,10.42
154959012, 0.08,-0.69,10.29
154959015, -0.20,-0.54,10.06
154959018, -0.40,-0.06,9.89
154959020, -0.15,0.04,9.97
154959023, 0.15,0.05,10.15
154959026, 0.44,-0.10,10.35
154959026, 0.51,-0.41,10.38
154959029, -0.28,-0.46,9.98
154959031, -0.42,-0.25,9.84
154959034, -0.34,-0.06,9.97
154959037, -0.06,0.03,10.11
154959037, 0.41,-0.26,10.35
154959039, 0.43,-0.53,10.36
154959043, 0.15,-0.67,10.34
154959045, -0.12,-0.64,10.13
154959049, -0.33,-0.50,9.92
154959049, 0.06,0.06,10.21
154959051, 0.39,-0.10,10.35
